Mes,Epoca del año,Hojas,Flores,Hojarasca,ORP,S,P,Año,Propágulos,Region,Sitio,Franja
2,Seca,,,,-90,10,0,2009,,LT,Atasta,1
3,Seca,0.482,0.31,2.548571,29,16.5,4,2009,,LT,Atasta,1
4,Seca,0.8524,0.62222,5.5185,-124.5,8,41,2009,0.84,LT,Atasta,1
5,Lluvia,1.389,0.926,5.252286,-65,35,25.5,2009,0.197,LT,Atasta,1
6,Lluvia,0.9657,0.1343,4.1314216,-58.5,28.5,305.5,2009,0.759,LT,Atasta,1
7,Lluvia,1.1937,0.1247,5.531857,-211,44,141,2009,0.462,LT,Atasta,1
8,Lluvia,1.376,0.675,7.9854,-77.5,25.5,169.31,2009,0.3278,LT,Atasta,1
9,Lluvia,0.5266,0.75,3.7614,87,24.5,164,2009,0.1569,LT,Atasta,1
10,Lluvia,0.5748,0.745,6.92154,43,25,67,2009,0.338,LT,Atasta,1
2,Seca,0.7914,0.215,2.11,-246,27,7.5,2009,0.667,RC,Champotón,1
3,Seca,1.383,0.192,2.684,-142,19,3.5,2009,0.29,RC,Champotón,1
4,Seca,1.15,0.96,3.1474333,-289,29,3.5,2009,0.21,RC,Champotón,1
5,Lluvia,2.3677,0.485,5.1687,-4.5,29,6,2009,0.2813,RC,Champotón,1
6,Lluvia,2.7518,0.1287,7.931697,-58,25.5,111,2009,1.7736,RC,Champotón,1
7,Lluvia,1.521,0.2864,9.6725714,-257,22.5,186,2009,2.4711,RC,Champotón,1
8,Lluvia,1.776,0.2177,6.5351,-222.5,15,278.81,2009,1.8782,RC,Champotón,1
9,Lluvia,1.8784,0.542,4.6564,40,20,130.5,2009,0.859,RC,Champotón,1
10,Lluvia,2.962,0.98,6.4582,-278,19.5,27,2009,1.1983,RC,Champotón,1
2,Seca,,,,-286,48,0,2009,,LT,E Pargo,1
3,Seca,0.9985,0.152,2.2224,-213,52,4,2009,0.375,LT,E Pargo,1
4,Seca,0.615,0.66154,2.52431538,-125.5,57,41,2009,0.251,LT,E Pargo,1
5,Lluvia,1.2787,0.6818,2.9786919,-142.5,22.5,25.5,2009,,LT,E Pargo,1
6,Lluvia,0.4825,0.44571,3.39571,4,32,305.5,2009,0.1855,LT,E Pargo,1
7,Lluvia,1.511,0.125,5.3286,-145.5,34.5,141,2009,0.2615,LT,E Pargo,1
8,Lluvia,1.482,0.582,5.2977,-159,30.5,169.31,2009,0.2826,LT,E Pargo,1
9,Lluvia,1.331,0.1482,3.8969333,-177,33,164,2009,0.49,LT,E Pargo,1
10,Lluvia,2.241,0.1476,7.77949999,-206,35,67,2009,0.16,LT,E Pargo,1
2,Seca,1.7465,0.56,2.327616,-277,48,6,2009,0.111,RBP,Peten Neyac,1
3,Seca,0.9138,0.272,1.1261,-113.5,52.5,0,2009,0.328,RBP,Peten Neyac,1
4,Seca,1.424,0.78889,1.8652889,-88,49.5,3,2009,0.218,RBP,Peten Neyac,1
5,Lluvia,1.8163,0.55484,4.365872,75,49.5,11.3,2009,0.237,RBP,Peten Neyac,1
6,Lluvia,2.2997,0.72857,3.15942856,-176.5,23.5,77.5,2009,0.1833,RBP,Peten Neyac,1
7,Lluvia,2.9158,0.147,8.2967,-35,35,125,2009,0.1896,RBP,Peten Neyac,1
8,Lluvia,1.8274,0.1968,3.435,-78,10,195.52,2009,0.132,RBP,Peten Neyac,1
9,Lluvia,2.565,0.336,4.24935676,55.5,14.5,122.8,2009,0.343,RBP,Peten Neyac,1
10,Lluvia,2.2228,0.3812,3.6542,-69.5,17,90.5,2009,0.112,RBP,Peten Neyac,1
2,Seca,1.487,0.756,2.25973333,-238,59,6,2009,0.9,RBP,Río Verde,1
3,Seca,1.2612,0.288,2.1894828,-272,62.5,0,2009,0.171,RBP,Río Verde,1
4,Seca,1.8996,0.21,3.181,-127.5,61,3,2009,0.533,RBP,Río Verde,1
5,Lluvia,2.39,0.579,5.1469742,-124,59.5,11.3,2009,0.94194,RBP,Río Verde,1
6,Lluvia,2.6116,0.891,4.586,-51.5,53,77.5,2009,0.2259,RBP,Río Verde,1
7,Lluvia,1.9326,0.261,5.3463,25,14,125,2009,0.697,RBP,Río Verde,1
8,Lluvia,2.834,0.412,6.9685,-38,9,195.52,2009,1.8237,RBP,Río Verde,1
9,Lluvia,2.5571,0.3454,6.53513787,134,9.5,122.8,2009,1.548,RBP,Río Verde,1
10,Lluvia,3.1268,0.3487,6.777,-6,11,90.5,2009,1.5737,RBP,Río Verde,1
